"idx","text","magnitude","score"
27,"残念...はずれです。8/28(火)まで一投稿に付き一回チャレンジできるよ。マックフルーリー。白いブラックサンダーが8/29(水)より全国で販売開始絶対食べてね。",2.5,-0.1
28,"好きな時に好きな仲間と好きなことをする。納得。",1.1,0.5
29,"やと思うな〜。ほんまにな!!︎",0.7,0.3
30,"なにすた",0.0,0.0
31,"フル単はおもんな",0.6,-0.6
32,"てれてれてってー",0.0,0.0
33,"人山生誕じゃないとかきれそー。今年中にやらないと98が。",0.4,-0.1
34,"はじめまして!!︎にくおと申します!!︎遅くなりましたがイナイレタグの反応ありがとうございます。誤反応でなければ繋がりませんか?",2.4,0.2
35,"腹が痛～～～い",0.6,0.6
36,"おはようございますッ。お気に入りを。ありがとうございます。。トマトたくさん収穫できましたね～おいしそうです",2.1,0.5
37,"うわぁ早起きだね!元気りんりんぎゃんばりんこ",0.7,0.3
38,"そのくせレフィア超絶引けないし",0.9,-0.9
39,"あなたなんなの。←。いや全部じゃなきゃ嫌だ",1.1,-0.3
40,"乃木坂ちゃん、おはようございます(*'ω'*)。こっちは風が強いだけで雨降ってはないのでまだマシか............。今日もよろしくお願いします(*'ω'*)",1.7,0.3
41,"動画、見ました!歌うとノリが良くてスラッと歌えるけど、ピアノで弾くところ見ると超難しそう。ジョンからのメッセージ嬉しいですね",1.8,0.6
42,"みーが嘘つく",0.1,0.1
43,"ねえ、まじなんなの",0.5,-0.5
44,"確かに頭湧いてるなww。なんでもかんでもラブライブのせいにするなって話",0.8,0.4
45,"ずるさんおはまる〜(๑°꒵°๑)・*♡。風強いね〜。気をつけてね",0.6,0.2
46,"次男君こんな時間から昼寝したまぁやっと静かな時間過ごせるから今のうちに夕飯作ってしまおう今日は時間に余裕のある夜を過ごせそうだ",0.7,0.7
47,"びびったー。勉強してたら急に部屋の電気、パッ!。って消えて一瞬心臓とまるかと思った!。このタイミングでこの時間に、電球切れるとかほんまにやめてほしい!。なんかムダに目覚めたし",2.7,0.0
48,"おはようございます。13°CΣ(。゚Д゚)気温差大きいですね...体調崩さないよう気をつけてください!私も気を付けます!!。私は補講があるので今日から大学です!休み明けで辛いですが、明日郁くんに会えるのを楽しみにがんばってきます",2.3,0.0
49,"gm。とゆうか寝てない寝れてない",0.2,0.0
50,"久々にストレス解消で飲んだら。この有様",1.1,0.5
51,"食料を買いに...。オープンまで、しばし待機",0.3,0.1
52,"この顔が総てを物語っているわね",0.3,-0.3
53,"くりったるうつくしい〜〜",0.2,0.2
54,"次の日またみるwwwwたまに奇跡的にあるんやて。お年玉で半分けーぽっぷ",0.9,0.4
55,"おはよ!。一昨日のリハビリの後から、脚を引きずって歩いているのだけれど。病友に言わせると、筋肉痛で脚引きずるほどはあり得ないって。この土日、変わらなければ火曜日の診察に行くしかないかな。",0.9,0.0
56,"どーよーしすぎてまちがえたもう知らないっ!知らないっ!知らないっ!だった",1.5,-0.3
57,"ちゃんと覚えてないけどなんか顔絵文字増えた??説明見るとなんじゃそりゃ?てのもある。←がっかりしたが安心した顔。←眠い顔",2.2,-0.2
58,"とかいいながらいまのアイコンプリじゃないよな?まず、なぜ前髪そんなうまくできるんだ←。残念ながらさすがの私もネガになるかも...",1.0,0.0
59,"電波悪くて応答鈍かったんだ〜!。うへえ...ありがとう。あさひちゃんのコラボも見たいよ",1.7,0.0
60,"せめて邪ンヌを仲間にしたい...ハアハア",0.3,0.0
61,"DJ楽しかった!!(^^)♪♪。明日5時起きどうしよ",1.3,0.4
62,"エンジン割れてるってこと～??流石だなぁ。",0.5,-0.2
63,"(╭☞•́⍛•̀)╭☞それな。ちまちま描くから集中力全然持たないし(私だけかも)。いやいや!それはこっちの台詞だよ...指とは思えない綺麗さで羨ましい",1.6,0.2
64,"あっ!さッちゃんも。うちさ、ホントに制作中止続きで、何としてもGETしたいって意地になって参加したけど、ことごとく連絡取れないとか制作中止の事態に...。自分疫病神なんじゃないかと本当に思ってたヒョンライン参加したけど、何一つ届いてない(泣)もう泣けてくる",1.9,-0.3
65,"おはようございます、台風過ぎました。今日もがんばるんば←",0.6,-0.1
66,"朝イチで万太郎の周回してましたが落ちずでも負けることはなくなって成長を感じます笑。",0.6,0.6
67,"おはももか。5:00起きからの労働中。今日も一日がんばりマツコ\(^o^)/。モノノフの皆さん〜「いってらっしゃーい」。",0.9,0.1
68,"Zaynの買った動くロボットってなんだろーな?",0.1,-0.1
69,"僕もケース買おう。RT。。お薬ケースを手に入れた今まで会社においてたサプリ一式も小分けにして持ち歩けるやん",0.7,0.2
70,"(*。́▿`*)ゆみさん!おはよう☆。うん♪笑顔を忘れずに。良い一日を、今日もヨロシク!",1.9,0.3
71,"ストパタグ反応いただきありがとうございます!ストパでリカルドしていたDakaraと申します初回のみ定型文で失礼します。良かったら仲良くしてください。フォロー失礼します!。って、メグメグ..?メグメグ!?池ハロルチアーノ初出しので挨拶させてください",1.8,0.1
72,"1年とか死んぢゃう",0.3,-0.3
73,"朝起きて時計見て。うわ今日テストやん!ってなって。ショックやった",1.3,-0.1
74,"しごおわだぜー",0.0,0.0
75,"さえちゃんお家に電話したのに出なかった明日朝には行くね",0.0,0.0
76,"おはようです!今日はお天気です!お友達が来てくれるってまた用事がはかどりますよね!ささーとやって!お友達と楽しい一日になりますように!今日もよろしくです!",3.6,0.6
77,"おけい",0.4,0.4
78,"あのバカしてた頃が懐かしいなってなる。制服っていいなって",1.2,0.6
79,"誘導するのめちゃくちゃ上手そう赤井さん(笑)皆知らない内に友情エンド...零くんだけ以上に難易度高いです難しい。ってレビューに書かれるやつw。あかあむ横目に見ながら自分はキッドと付き合う最高じゃん...w。ふふふ..あかあむ勢にバカ売れするの間違いない...ただし他CPなし赤安のみ笑",3.9,0.3
80,"明日大丈夫ぅ",0.0,0.0
81,"おはよー。お弁当作りお疲れ様。今日も元気によろしく。今。薬もらいに病院です",1.8,0.2
82,"ハルちゃんオハよぉ。こりゃ凄いわ。アゴ外れるよ〜Σ(゚◇゚;)ゲゲッ。まだまだ暑いけどもうちょっとだけがんばろぉね。。今日もよろしくね〜(*^o^)ノ⌒☆+゚・",1.7,0.2
83,"風邪キャー",0.0,0.0
84,"",0.0,0.0
85,"去年のワイじゃないか...辛かった",0.3,0.0
86,"バルサン手に入ってないから、取り敢えずボンの部屋から見直すよ",0.5,-0.5
87,"静かにしやがれ",0.3,0.3
88,"むかぁ〜",0.0,0.0
89,"だって、ゆうまやらんとか言うから。",0.4,-0.4
90,"今日いきなり寒いな突然の秋到来かーーー",0.5,-0.5
91,"つーやんさん、おはようございます^_^サンデバほぼリクhitおめでとうございます",0.0,0.0
92,"おはようさんでございます。。なんとか、無事に朝を迎えられて。ビーの散歩も行って来た。。風おさまったけど凄い湿気。工事現場のフェンス、おっちゃん一応留めとかはったけど、何かやり方がずさん。コーン倒れて道に転がってたけど立てたらへんだわ。風の音でビーが怖がり、ほとんど寝不足の朝",3.7,0.3
93,"レモン全く思いつかなかった。初チューレモン?んなやつおらん(笑)",0.3,-0.1
94,"おはようございます",0.0,0.0
95,"今日は息子のメガネを買いに行く(๑و•̀Δ•́)و。一年前に買ったメガネ無くすバカぁ(TдT)。もう安いのしか買わないからな。街へ行くのでカルディとかスタバに行きたいわぁ",2.5,-0.1
96,"フォローはずれてた",0.9,-0.9
97,"わーー。テストやー。ほんま頑張らな～(。́・_・`)。今日みたいに、寝過ごして朝勉できひんことにならんようにしやな...。まぁ、とりあえず全力だそっ",1.4,0.2
98,"起きたらえりりんとももで一つの寝袋に一緒に入ってたまじバイブスモンスター",0.0,0.0
99,"野生の何かwwwクマちゃんどうした!?。煩悩は何よりも強いさ。大...事?うん...凡吉くんが必死になって止めてくれるよね!陰原くんのために、陰用きちくんの耳をチクチク縫ってあげる凡吉くんを想像したら和んだよ!",1.0,0.0
100,"おはようございます。LINEお一人様グループ。無事に作れました。教えてくれてありがとう(*。́∀人)。‹‹\(。́ω`。)/››。‹‹\(。́)/››。‹‹\(。́ω`)/››",2.5,0.2
101,"TLをとめちゃん色にそめたげる。",0.0,0.0
102,"兄と話が全く噛み合わない。。兄『コンビに行ってくる』。私『あー。(アーモンドチョコ持って)食べる?』。兄『だからコンビに行ってくる。』。私『食べる?』。兄『コンビに行ってくる』。私『だから食べる?』。兄『コンビに行ってくる』。食べるか食べないかハッキリしろ。",2.4,0.0
103,"いろいろショック過ぎて立ち直るまでに時間かかったわ",0.9,-0.9
104,"あー、どっキュンだこりゃ",0.8,0.8
105,"おはよ〜テスト勉強しなきゃ〜",0.8,0.8
106,"おんねる移動で一緒なれ",0.3,0.3
107,"にんにく臭くなるんじゃ",0.8,-0.8
108,"こーるみー後夜祭お疲れ様。たっくさん楽しめたかなぁ?。ゆなも絶対いつかそうゆうイベントに行きたいです笑っ。会いに行きたい~~~笑。お疲れ様でしたっ!笑",2.5,0.4
109,"電磁気だりぃー",0.0,0.0
110,"大丈夫ちゃいます!!!!あした寝坊したらダメですよ!!!",1.6,0.0
111,"また年末に嫌な事おきそーな予感。ほんまなんもありませんように",1.1,-0.5
112,"あと2日がんばる、、、",0.8,0.8
113,"KEIちゃん。あみちゃんおはよう。ジヨンはこれぞジヨン!って。感じよね(♡ॢ˃̶̤̀◡˂̶̤́♡ॢ)。あみちゃんジヨン率上昇?。浮気しとるし〜www",3.1,0.4
114,"激ギレブリブリ丸",0.0,0.0
115,"え!!!!!そおなん!?",0.3,-0.1
116,"あらピアノも出来ちゃうんですね",0.9,0.9
117,"んね!うちもびっくりして部屋で1人で喜んでたバカ犬、misty思い出して泣きそう(。˶。́⚰︎`˵。)笑笑。そっかそっか私は今日から新学期だべももちゃんのツイートまた楽しみにしてる〜",1.7,0.2
118,"うーんこの湿気",0.4,-0.4
119,"今夜は会社の決起大会と称した飲み会個人別にもっと決起して欲しい人間の集まりだ。成績不振者の傷の舐め合い、仲良し集団の結束の場にしか見えない",0.8,-0.4
120,"大丈夫でしたか?",0.0,0.0
121,"あはは(*。̄∇。̄*)。眺めて",1.0,0.2
122,"隙間時間はえすり開く!位にそこそこ頑張ってはいるんですけど1位の人ptすごくて「えっ?寝てる??大丈夫??!」ってなります。そうなんですよ...まだ折り返してもいない地獄......最初は300ptくらい取ってれば500位余裕なのでは〜とか思ってたのに。ふえ〜〜頑張って称号とりましょ",2.8,0.0
123,"乙女座ー",0.1,0.1
124,"今日のNHKスタジオパークからこんにちは→岡本夏生がゲスト!どんな格好で出るんやろ〜?。NHKって、たまにぶっ飛ぶよねー。",0.5,0.0
125,"コレどストライクなんやけど。こういう派生商品って。すぐに店頭から消えちゃうから悲しい。。いつ居なくなるか分からないから。買えるときに買っておこう",2.4,-0.3
126,"な、なんと、、、、。君の恋人になったらとかとっっっってっっっつっっつもっっっなくきになる。",1.1,0.5
127,"そかそか～(∵)。まぁ考え方次第なんだけどね",0.5,0.2
128,"前も騒いでたの用紙じゃなかった?",0.3,-0.3
129,"ありがとうございますもしできれば明日もしていただけませんか?",0.2,-0.2
130,"下手なりに楽しいからいい笑笑。それは同感ー",0.9,0.4
131,"おはまいやん!。今日から学校が始まる。なんだかんだで行ったら楽しいけど行くまでがな...。頑張ってくぞー。",0.6,0.0
132,"こっちは暑かったよ",0.1,0.1
133,"今日もお勉強頑張るよ",0.8,0.8
134,"「」この顔文字好き笑笑。1。2。3。4。5。6。ほら、アホになれる。",2.0,0.2
135,"うらやまぴー",0.7,0.7
136,"今週は明日のZIPと金曜日のMステのために頑張ろ",0.9,0.9
137,"朝7時って大変!。良台掴めるなら17時間稼働なんて天国ですけど、そんな簡単じゃないですよね～。今日も頑張ってくださいね!。",1.3,0.4
138,"ありがとう",0.5,0.5
139,"いつになく真剣な表情。。。。。",0.2,0.2
140,"らんさん、おはようございます。こちらは午後には晴れるとの予報です。。今日もよろしくお願いします。",1.4,0.4
141,"ゆうかさん、ジミーマッキーの解説ありがとうございます。他にも「気づいたら居なくなってた」って仰ってる方居て笑いましたwwwww。いや、Jr.あるある...。なかなか可愛いお顔してたみたいですねぇ...",2.3,0.4
142,"前髪短すぎて死にそう今日の行事で司会しなきゃいけないんだけど不安でしかなくて吐きそう",0.0,0.0
143,"おはおーん。ちちさんメイン5枚だけ......。。ツール王家につかててジェムがっがっ",0.4,0.0
144,"あぱーーー",0.0,0.0
145,"ツライよ。受験生やめたいって毎日。思ってる。やんね。リナも。会いに行くことを。目標にして頑張る",2.1,0.2
146,"夏に向けてチームの状況が気になる時期ですね広島市から三原まで行って、遠征で不在だった時にショックなので。お聞きしました。お仕事忙しいようで、体に気をつけて頑張ってくださいね!!",0.8,0.0
147,"むっちゃんおはょー!朝になっちゃった。見守りたいねぇ...♡♡控えめむっちゃん...あの子の一日24時間を観察してみたいww",1.3,0.2
148,"がーんイヤホン忘れた・・・",0.4,0.4
149,"おっはよー",0.6,0.6
150,"もう限界だ、",0.3,-0.3
151,"(。̄・ω・。̄)ヨロスク(。̄・ω・。̄)。末永く幸せになるんだぞ(?)",1.8,0.3
152,"まふゆにふられた。。もうどうしたらいいかわからないまふゆがいないとわたし。。だめ。。いきていけない。。どぉして別れようとかいうの。。あんなに仲良しだったのに。もう過去にはもどることはできないのかな。。わたし。。。わたし。。うわあああん",2.4,-0.1
153,"うたた寝しちまってたよ",0.1,0.1
154,"ひぃぃぃいいい(。́;ω;`)。ももちゃんありあと。なんでまなかのこと知ってるの。戦前話しかけてくれれば話します!笑。早くあって話まそ!!",2.0,0.2
155,"もういい、明日やる",0.7,0.7
156,"部活あるらしい...",0.2,0.2
157,"最近繋がったばかりだけど結構ふぁぼくれるよね、ありがとう。",0.7,0.7
158,"おはよう～",0.1,0.1
159,"たけるの顔変わりすぎてびっくり",0.3,-0.3
160,"電車ってこんなに揺れたっけ?。酔ってきた気持ち悪い",0.8,-0.4
161,"なら行きたい学校行かせてって感じよな...。バイトしすぎで体壊さないでね...",1.0,-0.2
162,"この台風の日の独特な湿度感",0.6,0.6
163,"あああこんなクソツイに...お優しい...。はるさんリアル成人くらいですか?。若さがうらやましい~",2.5,0.1
164,"眠い～寒い～怠い～",0.3,-0.3
165,"おはよーもう、マスコミは終わったねww選挙の事もやってるけど、切り取ってしか報道しないし、早く国会中継見たいわww",0.6,-0.6
166,"おはおは(๑˃̵ᴗ˂̵)。おおっ〜と。やっとトクできたね〜おめでとう",1.1,0.3
167,"なんか東神奈川行きに乗ってる!大学3年生なのに間違えた",0.8,-0.4
168,"なんか連絡あるまで起きてようかと思ったけど、さすがに無理っぽいもう寝ます。気をつけて帰らなんよ。おやすみなさーい",1.3,-0.3
169,"ロングシフトいってきます",0.6,0.6
170,"田村さん34歳のお誕生日おめでとうございます*\(^o^)/*。テレビや劇場やツイッターなどでいつも田村さんに沢山の笑い・幸せもらってます!ありがとうございますこれからも麒麟さん大好きです♡9/9の単独ライブも京都から参戦します、楽しみにしています!",1.9,0.6
171,"ほだよ〜。だいじだよ。そうだよ。大丈夫だよ。森の変な騒動。落ち着きますように...",2.1,0.2
172,"お、肉体改造ですか俺もちょっとたるんできた脇腹をどうにかせんと。来月宇都宮マラソン大会も走るから、今のうちに軽く走りこんどかないといかんなぁ",0.4,0.1
173,"朝起きて描きなおしました。ビートルズ。/。ラバーソウル。...うっ、うわぁー!!ジョンレノンを間違えてジョンFケネディ描いちゃった。。。。",1.8,-0.1
174,"【拡散希望】どなたか子猫飼っていただける人いませんか?捨てられてしまったのか母親とはぐれてしまったのかわかりませんが、目も開いていない状態で公園に一匹でいました。シッポの長いキジトラです可愛がってくださる方ご連絡下さい。",1.2,0.0
175,"ありがとう、もうほんとに助かる、御言葉に甘える!!!",0.8,0.8
176,"最近横浜線珍しくちゃんと動いてると。思ってたらテストの日に遅延起こすとか使えなさ過ぎでしょ。やっぱり軟弱体質は変わらないね←",1.6,-0.3
177,"もうなかなか4体同時にあぁやってステージあがったりするのないですよね。気に入っていただいて。笑。しかもアンパンマンでかわいさまである最強さ",2.2,0.5
178,"田尻桜の生徒。バス到着時に交通の妨げ",0.6,0.0
179,"お!サッカー良いですね!。爆絶も予約出来ればいいのにな。。。はい、頑張りましょう╰(*。́)`*)╯♡",2.3,0.4
180,"ありがと♡。ゆうって呼ぶ!!(笑)",0.2,0.0
181,"ゴリゴリして美味しくない",0.9,-0.9
182,"文化祭って感じしない!。つまんなすぎ",1.6,-0.8
183,"おはようございます。また寝てました。お休みが不定期だと計画立て難いですよね。私も、お休みの融通利かなくなってきたり、病院通いで、気が付いたら10年LIVE行ってませんでした。地方楽しそうですよね。お互い、次のツアーはもっと行けるといいですよね",3.1,0.1
184,"塾、ちびっこたちが多くて全然うちの勉強見てくれないこっちは早く帰りたいんだよ",0.6,0.6
185,"うえっ。えっと誰でしたっけ..................。。嘘です。はい、よろちくね",0.8,-0.1
186,"寝すぎた〜。学校の課題やりそびれた。今日も授業だが、ペンケース忘れた。やる気ゼロだぁ",2.1,0.0
187,"もうなくなりそうですか?",0.2,-0.2
188,"はんにゃのギャグ『ズグダンズンブングンゲーム(4年前に流行)』とオリラジのギャグ『武勇伝(8年前に流行)』を使った『ズグダン武勇伝謝罪』も面白いそれぞれのギャグって随分前のものになるんだねぇ",0.0,0.0
189,"陰キャは俺の為にある言葉や。軽々しく使う事なかれ。君達は太陽に燃やされた事があるか?。俺はない。そゆことで",1.1,0.1
190,"何様って感じ",0.0,0.0
191,"お友達さんは結婚できてはるから羨ましいです結婚したいし、子供も産みたいですが...今年で30ですからね",0.8,0.4
192,"【求人!】。「フットサルやサッカーわからないから不安」。安心してください、大丈夫です。一からスタッフがちゃんと教えます!。女性の方も大歓迎です。たくさんのご応募お待ちしております。ご応募はこちら⇒",4.4,0.5
193,"お疲れ様だよー。こいたしゃだって疲れてるだろうに...。無理しないでね;;;;",0.9,-0.2
194,"ホテル帰ってきたの2時半とかで。そこから即寝して朝シャン浴びたけど......。とりあえず寝不足やしとりあえず二日酔いやしとりあえずだるいって感じで無理。今日俺講習せなあかんのに",0.7,0.0
195,"やぱり風邪だったの?",0.1,-0.1
196,"の子さんおはよう〜!今日は運動会だよ!。クソめんでぃー",1.4,-0.1
197,"こっちはもう雨降ってるしめっちゃ寒いよ。お休みまったり楽しんでね。お仕事行って来まーす",1.4,0.1
198,"ちんちゃ?。・°°・(>_<)・°°・。ごめんんんんp_q怒りマークだったのよーん。・°°・(>_<)・°°・。これだったら見えたかなぁ...",0.8,0.0
199,"ええなー",0.7,0.7
200,"失くしたんか(。̄◇。̄;)。SHUREはステム細いから装着感と遮音性がかなり良いよ。そのせいで壊れやすかったりするけどw",1.9,0.3
201,"そういえばね。。携帯変える前とかすごい携帯調子悪くて。。LINEうまく動かんかったりもしたのね。。もしかしたら全然へんじ返せてない人いるかも...ごめん。もう直ったと思うけど、返事できてなかった人申し訳ない(。́×ω×`)",2.6,-0.1
202,"まさかの。笑。頭痛からの吐き気があんなにつらいとは知らなかったよ。あとひくし",0.9,0.0
203,"ダラヽ(;▽;)ノ。けいためヽ(;▽;)ノ羨ましい。",1.2,0.6
204,"なんかいいかもとおもった",0.5,0.5
205,"アプリとれたから久しぶりやったら無課金でいけた。じょんすくんだけに全神経を注いだ!!他グルのカードは全部この人に当てたからすっからかん(。́・_・`)。",1.5,0.0
206,"良かったぁ。こっちは直撃してないのに雨と風がヤバかったわしかも蒸し暑いし不快指数MAXだよ",1.0,0.0
207,"ウンビ姉さんの筋肉に誰も称賛の声をあげていないのはどういうことなんですか????。",0.3,-0.3
208,"寝不足と涙で仕事なうだけど顔パンパン笑",0.9,0.9
209,"ダメです、火力が足りません!。ころパパ、出動できますか",1.2,0.0
210,"いいや、ちゃんとお母さんに相談しよう。多分取り合っては貰えないけど私がそう思ってるってことをちゃんと知っていて貰おう。少しは母らしいことしなさい",1.2,0.4
211,"辛すぎて仔サンジとサンジを直視できないので、先週、今週号は全頁切り取って保管箱へ。サンジ無事奪還後ならちゃんと読めるかも。。アニメも辛い。仔サンジ見て朝から号泣で一日屍決定。",2.7,0.0
212,"そらちん...ハッスルし過ぎてこの後ヘトヘトになった事は言うまでも無い(笑)。I'm。playing。until。exhausted.by。Sora。。。。",0.5,0.0
213,"オェェイェイェイェ",0.0,0.0
214,"No。がーるふれんどだよ。てか、ゆりなさんって大人なの!!?。てっきりJK。かとおもった",0.4,0.0
215,"ほんま、明日家くんなよ。デレラまた月曜日ね?。覚えといてね?",0.4,0.1
216,"激のあとの、あの暑さ、ほんと、嫌だ(>_<)。しかも今日は蒸してるから、髪も乱れるし",0.5,0.0
217,"I'm。a。celebrityはほんとにエグい",0.3,0.1
218,"今晩はSoftBank岩槻店です。本日の営業は終了いたしました。また明日も皆様のご来店を心よりお待ちしております",1.9,0.1
219,"お返事ありがとうございます!。いただいていたのに遅くなってすみません。田舎からの遠征でしたので、昨日は帰省中でした。B'z仲間増えるのうれしいです!!!。私もフォローさせていただいてもよろしいですか?。また、楽しそうな投稿をゆっくりみさせて下さい!",1.8,0.2
220,"なんか......世も末。気分が悪くなる。法律ってなんだろうね。あ、某事件の感想です...",1.8,-0.3
221,"な、なんだって?。「まだ学校の課題終わってない」だと?。ふ、ふざけるな。できる生徒なら、「魔剤ブースト」。他の生徒を凌ぐスピードと徹夜で速攻終了。まだTwitterしてるような人はもう「無理」かな...。お腹痛い",3.2,-0.1
222,"えっ意味がわからない...笑",0.8,-0.8
223,"そうだね(^-^)/。それが相鉄あんまり使わないんだよね。つかうのバイト帰りの土、日くらい。バスで横浜まで出ちゃう。あの広告見たことない",1.9,-0.1
224,"きちんと改めて、神社案内の看板を読みましたら、凄い神社なのですね。御守りをと考えてくれた気持ちが、とても嬉しくて大切にします!。本当にありがとうございます。",1.9,0.6
225,"覚えてるヽ(;▽;)ノ逆に覚えてくれてて嬉しい。またよろしくね!",1.6,0.8
226,"酔っ払った私を籠原までお迎えきてくれたひとちゃんありがとうーらぶ!!。あー気持ちわるいー",0.5,0.2
227,"エッ。25ですか?。そしたら楽勝でしょfight。私は夜月例会が有りますがHDは。ありません。。おそらく優勝ラインは4Gで1,000前後。だと思います。。なので850以上で10位以内を目標にします",3.4,0.2
228,"かほちん実習なのかよしっかり準備してぶちかましてきてくれ(^-^)/",0.3,0.3
229,"早く帰りたい。。やっぱ派遣だめなやつ",0.9,-0.1
230,"ありがとう!おやすみなさい",0.6,0.2
231,"お～もう。セミの声が聞こえてきてるんか～。夏やな～",1.1,0.1
232,"見るよ",0.0,0.0
233,"そんな発言してたのか!普通にもう卒業してるやろなーとは思ってたし、今でもそう思てるで!",0.2,0.0
234,"是非こんなれのでよかったら濃ゆく濃ゆく行きましょう",0.9,0.9
235,"ぎゃー(>_<)ぶらイヤ〜んでもすきRT。。ジュベールwww。",1.0,0.5
236,"好みのアンプ探さなあかんな、、。ディーゼルとか置いてないよう...。有益な情報サンクス!",1.5,-0.2
237,"はーん!?。パワーアップキャンペーンって、ま!?。まじで、ま!?。",0.5,0.1
238,"甲子園ソングとか嬉しいヽ(●。́∀`●)ノ。あんまり見たことないけど。せっかくやしみよっかな。朝からテンションあがる",2.5,0.3
239,"えっ、にゃんこちゃん入院してるの?えっ、えっ、体調崩しちゃったの?大丈夫?じゃないよねにゃんこちゃん点滴だけだと体力つかないよね...体力が回復して早く元気なにゃんこちゃんに戻ってね遠い日本から早く退院できるように願ってるからねーーー",1.1,0.1
240,"今日はTLが陽だまり祭りだ潤担さん、ほんとかわいいなぁ。自分たちで楽しむのがじょうず",1.1,0.5
241,"家の前で不良に絡まれる夢を見るという目覚めの悪い朝www。おはようございます",0.2,0.0
242,"今から帰るよクタクタや",0.1,0.1
243,"ハジ→。お誕生日おめでとう。もぉこれいうの何回目だろうね。ハジ→の音楽とライブは初心に戻れる場所。しんどい時に寄り添ってくれる場所。大好きなみんなに会える場所。いつもそんな場所を作ってくれてありがとう。今までまこれからもそんな場所を作ってくれるハジ→が大好きです",4.5,0.4
244,"あみありがとう(。́°̥̥̥̥̥̥̥̥д°̥̥̥̥̥̥̥̥`)。みんな頑張ってるんだって。自分に言い聞かせてがんばるね",1.6,0.4
245,"彼氏と電話するとほんとこんな感じ",0.9,0.9
246,"文面の威圧感が半端ない件について...",0.3,-0.3
247,"おはようございます",0.0,0.0
248,"あら、バレるの早かった",0.6,0.6
249,"寝る...たまと寝る...子供体温抱きしめながら寝る...",1.8,0.6
250,"あかん古典の先生ほんま無理(T_T)。前髪目にかかってるのにどけないの見ててうっとうしい。自分のピン留め貸してあげたくなった。笑",2.9,-0.1
251,"wwwwww。おばろう(。̇꒳。̇。)。神だべ笑笑笑",0.9,0.2
252,"まじ長いっす笑。人生で1番長居2週間でしたわ",0.1,0.0
253,"メインボーカルは迫力ある歌声でなんと13歳今月14歳。そしてダンスのクオリティも高いし、中西里緒を筆頭にビジュアルも高いので。天草のグループですが、遠征もかなりな頻度でやってますので機会があれば是非",1.6,0.5
254,"おはようございます。今日もよろしくです",1.0,0.5
255,"週間天気予報みてビックリ今週やばいね。こまたんおはよー!ぬくぬくしてがんばろー!o(^▽^)o",1.5,0.3
256,"""。どうする～アイフル～。♫。""""Muppet。Show。Theme。Song""""。by。。",0.5,0.0
