"idx","sentence","magnitude","score"
174,"捨てられてしまったのか母親とはぐれてしまったのかわかりませんが、目も開いていない状態で公園に一匹でいました。",0.5,-0.5
174,"シッポの長いキジトラです可愛がってくださる方ご連絡下さい。",0.0,0.0
175,"ありがとう、もうほんとに助かる、御言葉に甘える!!!",0.8,0.8
176,"最近横浜線珍しくちゃんと動いてると。",0.2,0.2
176,"思ってたらテストの日に遅延起こすとか使えなさ過ぎでしょ。",0.9,-0.9
176,"やっぱり軟弱体質は変わらないね←",0.4,-0.4
177,"もうなかなか4体同時にあぁやってステージあがったりするのないですよね。",0.3,0.3
177,"気に入っていただいて。",0.8,0.8
177,"笑。",0.1,0.1
177,"しかもアンパンマンでかわいさまである最強さ",0.9,0.9
178,"田尻桜の生徒。",0.3,0.3
178,"バス到着時に交通の妨げ",0.3,-0.3
179,"お!",0.1,0.1
179,"サッカー良いですね!。",0.9,0.9
179,"爆絶も予約出来ればいいのにな。。。",0.1,0.1
179,"はい、頑張りましょう╰(*。́)",0.9,0.9
179,"`*)╯♡",0.1,0.1
180,"ありがと♡。",0.1,0.1
180,"ゆうって呼ぶ!!(",0.0,0.0
180,"笑)",0.0,0.0
181,"ゴリゴリして美味しくない",0.9,-0.9
182,"文化祭って感じしない!。",0.7,-0.7
182,"つまんなすぎ",0.9,-0.9
183,"おはようございます。",0.2,0.2
183,"また寝てました。",0.2,0.2
183,"お休みが不定期だと計画立て難いですよね。",0.7,-0.7
183,"私も、お休みの融通利かなくなってきたり、病院通いで、気が付いたら10年LIVE行ってませんでした。",0.4,-0.4
183,"地方楽しそうですよね。",0.7,0.7
183,"お互い、次のツアーはもっと行けるといいですよね",0.6,0.6
184,"塾、ちびっこたちが多くて全然うちの勉強見てくれないこっちは早く帰りたいんだよ",0.6,0.6
185,"うえっ。",0.1,0.1
185,"えっと誰でしたっけ..................。。",0.1,-0.1
185,"嘘です。",0.5,-0.5
185,"はい、よろちくね",0.0,0.0
186,"寝すぎた〜。",0.0,0.0
186,"学校の課題やりそびれた。",0.4,0.4
186,"今日も授業だが、ペンケース忘れた。",0.7,0.7
186,"やる気ゼロだぁ",0.8,-0.8
187,"もうなくなりそうですか?",0.2,-0.2
